,TrialID,Public_title,Intervention,intervention_type
158,ChiCTR2000030095,A medical records based study for optimization and evaluation of the comprehensive diagnosis and treatment of novel coronavirus pneumonia (COVID-19) and the assessment of risk factors for severe pneumonia,Case series:Nil,
182,ChiCTR2000030136,Humanistic Care in Patients With Novel Coronavirus Pneumonia (COVID-19),Humanistic care:Humanistic care+routine regimenControl group:routine regimen,
219,ChiCTR2000029434,"A randomized, open-label, blank-controlled trial for Lian-Hua Qing-Wen Capsule /Granule in the treatment of novel coronavirus pneumonia (COVID-19)","Routine treatment + Lianhua Qingwen Capsules/granules:4 capsules / time or 1 bag / time, 3 times a dayConventional treatment:Treat as prescribed in the fourth edition of the diagnosis and treatment plan, without using traditional Chinese medicine",
221,ChiCTR2000029999,A clinical study for probiotics in the regulation of intestinal function and microflora structure of novel coronavirus pneumonia (COVID-19),Mild Group:probioticsSevere Group:probiotics,
223,ChiCTR2000030004,Effect of Novel Coronavirus Pneumonia (COVID-19) on the Mental Health of College Students,college students:none,
225,NCT04256395,Efficacy of a Self-test and Self-alert Mobile Applet in Detecting Susceptible Infection of COVID-19,Other: mobile internet survey on self-test,
230,ChiCTR2000029990,Clinical trials of mesenchymal stem cells for the treatment of pneumonitis caused by novel coronavirus pneumonia (COVID-19),experimental group:mesenchymal stem cellscontrol group:saline,
233,NCT04274322,Identifying Critically-ill Patients With COVID-19 Who Will Benefit Most From Nutrition Support Therapy: Validation of the NUTRIC Nutritional Risk Assessment Tool,Other: Nutrition support,
234,NCT04275414,Bevacizumab in Severe or Critical Patients With COVID-19 Pneumonia,Drug: Bevacizumab Injection,
236,ChiCTR2000029985,Study for mental health status and influencing factors of nurses during epidemic prevention of novel coronavirus pneumonia (COVID-19),Case series:Nil,
240,NCT04290871,Nitric Oxide Gas Inhalation for Severe Acute Respiratory Syndrome in COVID-19.,Drug: Nitric Oxide Gas,
247,NCT04292327,Clinical Progressive Characteristics and Treatment Effects of 2019-novel Coronavirus,,
249,NCT04296643,Medical Masks vs N95 Respirators for COVID-19,Device: Medical MaskDevice: N95 respirator,
250,NCT04299152,Stem Cell Educator Therapy Treat the Viral Inflammation Caused by Severe Acute Respiratory Syndrome Coronavirus 2,Combination Product: Stem Cell Educator-Treated Mononuclear Cells Apheresis,
252,NCT04279899,The Investigation of the Neonates With or With Risk of COVID-19,,
254,NCT04279782,Clinical Features of Suspected and Confirmed Patients of 2019 Novel Coronavirus Infection,Other: Comprehensive treatment,
255,NCT04279795,Detection of 2019 Novel Coronavirus in Multiple Organ System and Its Relationship With Clinical Manifestations,,
256,NCT04280224,NK Cells Treatment for Novel Coronavirus Pneumonia,Biological: NK Cells,
257,ChiCTR2000030442,"Combination of Tocilizumab, IVIG and CRRT in severe patients with novel coronavirus pneumonia (COVID-19)","Case series:Combination of Tocilizumab, IVIG and CRRT",
259,ChiCTR2000030386,Study for moxibustion in the preventing of novel coronavirus pneumonia (COVID-19),Case series:moxibustion,
262,ChiCTR2000030382,Construction and application of non-contact doctor-patient interactive diagnosis and treatment mode of moxibustion therapy for novel coronary pneumonia (COVID-19) based on mobile internet,Case series:routine treatment+indirect moxibustion,
266,NCT04275388,Xiyanping Injection for the Treatment of New Coronavirus Infected Pneumonia,"Drug: Xiyanping injectionDrug: Lopinavir / ritonavir, alpha-interferon nebulization",
268,NCT04299711,Mental Health and Its Correlates Among Chinese Adolescents Exposed to the Novel Coronavirus Disease 2019,Other: Exposed to the novel coronavirus disease 2019,
269,NCT04302519,Novel Coronavirus Induced Severe Pneumonia Treated by Dental Pulp Mesenchymal Stem Cells,Biological: Dental pulp mesenchymal stem cells,
270,NCT04304053,Treatment of Mild Cases and Chemoprophylaxis of Contacts as Prevention of the COVID-19 Epidemic,Drug: Antiviral treatment and prophylaxisOther: Standard Public Health measures,
271,NCT04305457,Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID-19 Infection,Drug: Nitric Oxide,
274,NCT04305574,Social Media Use During COVID-19,Behavioral: Use of social media during COVID-19,
275,ChiCTR2000030897,Evaluation of the effect of taking Newgen beta-gluten probiotic composite powder to nutrition intervention of patients with novel coronavirus pneumonia (COVID-19),Control group:Routine medicines and foodExperimental group:Taking Newgen beta-gluten probiotic composite powder,
286,ChiCTR2000030892,Efficacy and Safety of Pirfenidone in the Treatment of Severe Post-Novel Coronavirus Pneumonia (COVID-19) Fibrosis: a prospective exploratory experimental medical study,Experimental group:PirfenidoneControl group:Blank,
287,ChiCTR2000030883,Clinical research and preparation development of qingfei detoxification decoction (mixture) for prevention and treatment of novel coronavirus pneumonia (COVID-19),Case series:qingfei detoxification decoction (mixture),
294,ChiCTR2000030865,Establishment of an early warning model for maternal and child vertical transmission of COVID-19 infection,Case series:Nil,
295,ChiCTR2000030858,"Clinical characteristics and outcomes of 483 mild patients with novel coronavirus pneumonia (COVID-19) in Wuhan, China during the outbreak: A single-center, retrospective study from the mobile cabin hospital",Case series:none,
302,ChiCTR2000030856,An artificial intelligence assistant system for suspected novel coronavirus pneumonia (COVID-19) based on chest CT,Gold Standard:RT-PCR test resultsIndex test:Artificial&#32intelligence&#32model,
303,ChiCTR2000030849,Investigation on psychological status of novel coronavirus pneumonia (COVID-19) rehabilitation patients in Zhengzhou City and research on coping strategies,Case series:Psychological intervention,
308,ChiCTR2000030263,Investigation and analysis of psychological status of hospital staff during the novel coronavirus pneumonia (COVID-19) epidemic,Case series:N/A,
312,ChiCTR2000030833,Clinical validation and application of high-throughput novel coronavirus (2019-nCoV) screening detection kit,Gold Standard:PCR Nucleic acid detectionIndex test:high-throughput&#32novel&#32coronavirus&#32(2019-nCoV)&#32screening&#32detection&#32kit,
313,ChiCTR2000030831,The analysis of related factors on improving oxygenation status by endotracheal intubation ventilation in severe patients suffered from novel coronavirus pneumonia (COVID-19): a single center and descriptive study in Wuhan,Case series:Nil,
315,ChiCTR2000030223,Quality of life among Chinese residents during and after novel coronavirus pneumonia (COVID19) outbreak: an online survey,General population:Health Advice based on survey results,
319,ChiCTR2000030816,Nutritional risk assessment and outcome prediction of critically ill novel coronavirus pneumonia (COVID-19) patients,Case series:none,
320,ChiCTR2000030814,A medical records based analysis of clinical evidence of human-to-human transmission of 2019 novel coronavirus pneumonia (COVID-19) by conjunctival route,Case series:N/A,
325,ChiCTR2000030807,Clinical characteristics and prognosis of cancer patients with novel coronavirus pneumonia (COVID-19),non-cancer COVID-19 versus cancer with COVID-19:none,
326,ChiCTR2000030805,Quantitative CT characteristic estimate the severity of novel coronavirus pneumonia (COVID-19),Case series:Nil,
329,ChiCTR2000030798,A medical records based study for clinical characteristics of novel coronavirus pneumonia (COVID-19),Case series:Nil,
330,ChiCTR2000030796,Clinical characteristics and treatment of novel coronavirus pneumonia (COVID-19),Case series:Nil,
334,NCT04276688,"Lopinavir/ Ritonavir, Ribavirin and IFN-beta Combination for nCoV Treatment",Drug: Lopinavir/ritonavirDrug: RibavirinDrug: Interferon Beta-1B,
335,NCT04287686,Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19,Drug: Recombinant human angiotensin-converting enzyme 2 (rhACE2),
337,ChiCTR2000030782,"The value of CD4 / CD8 cells, CRP / ALB and APCHEII in novel coronavirus pneumonia (COVID-19)",Case series:none,
338,ChiCTR2000030773,Application of blood purification in the treatment of novel coronavirus pneumonia (COVID-19),Case series:Early initiation of blood purification,
341,ChiCTR2000030764,"Research for the influence of epidemic of novel coronavirus pneumonia (COVID-19) on sleep, psychological and chronic diseases among different populations",4 groups:N/A,
342,ChiCTR2000030762,Diagnosis and treatment of novel coronavirus pneumonia (COVID-19) in common and severe cases based on the theory of ''Shi-Du-Yi (damp and plague)'',Case series:Nil,
345,NCT04252118,Mesenchymal Stem Cell Treatment for Pneumonia Patients Infected With 2019 Novel Coronavirus,Biological: MSCs,
347,NCT04276987,A Pilot Clinical Study on Inhalation of Mesenchymal Stem Cells Exosomes Treating Severe Novel Coronavirus Pneumonia,Biological: MSCs-derived exosomes,
348,ChiCTR2000030760,"A medical records based study for clinical characteristics of 2019 novel coronavirus pneumonia (COVID-19) in Zhejiang province, China",two groups:no intervention,
349,ChiCTR2000030755,"A medical records based study for characteristics, prognosis of ederly patients with Novel Coronavirus Pneumonia (COVID-19) in Wuhan area",Case series:no,
354,ChiCTR2000030753,A medical records based analysis of the Incidence and Risk Factors of Ventilator-associated Pneumonia in ARDS Patients with Novel Coronavirus Pneumonia (COVID-19),case series:no,
355,ChiCTR2000030744,Clinical Application of ECMO(or Ultra-Protective Lung Mechanical Ventilation) in the Treatment of Patients with ARDS due to novel Coronavirus Pneumonia (COVID-19),ECMO group:ECMO therapythe conventional treatment group:no,
360,ChiCTR2000030739,Exploration of the Clinical Characteristics of Patients with Novel Coronavirus Pneumonia (COVID-19) and Its Differences from Patients with Severe Influenza A and MERS,case series:no,
361,ChiCTR2000030721,A comparative study for the sensitivity of induced sputum and throat swabs for the detection of SARS-CoV-2 by real-time PCR in patients with novel coronavirus pneumonia (COVID-19),Gold Standard:Patients with mild or light COVID-19 confirmed by testing for novel coronavirus of the respiratory tractIndex test:1.&#32throat&#32swab<br>2.&#32induced&#32sputum,
364,NCT04280913,Clinical Outcomes of Patients With COVID19,Other: retrospective analysis,
365,NCT04281693,A New Screening Strategy for 2019 Novel Coronavirus Infection,Diagnostic Test: Standard screening strategyDiagnostic Test: New screening strategy,
366,NCT04282902,A Study to Evaluate the Efficacy and Safety of Pirfenidone With Novel Coronavirus Infection,Drug: pirfenidone,
367,NCT04284046,CT Scores Predict Mortality in 2019-nCoV Pneumonia,Other: CT score,
368,ChiCTR2000030719,A retrospective cohort study for integrated traditional Chinese and western medicine in the treatment of 1071 patients with novel coronavirus pneumonia (COVID-19) in Wuhan,Integrated traditional Chinese and western medicine group:Traditional Chinese medicine and routine treatment of western medicineWestern medicine group:Routine treatment of western medicine,
369,ChiCTR2000030703,"A randomized, blinded, controlled, multicenter clinical trial to evaluate the efficacy and safety of Ixekizumab combined with conventional antiviral drugs in patients with novel coronavirus pneumonia (COVID-19)",experimental group:Ixekizumab and antiviral therapycontrol group:antiviral therapy,
373,NCT04285190,The Effect of T89 on Improving Oxygen Saturation and Clinical Symptoms in Patients With COVID-19,Drug: T89,
377,ChiCTR2000030687,Novel coronavirus pneumonia (COVID-19) associated kidney injury in children,"Infection without renal injury group:noneInfection with proteinuria group:Bailing CapsuleInfection with hematuria group:Bailing CapsuleInfection with impaired renal function group:Bailing Capsule, Renal replacement therapy",
385,ChiCTR2000030484,HUMSCs and Exosomes Treating Patients with Lung Injury following Novel Coronavirus Pneumonia (COVID-19),"treatment group1:HUMSCs: intravenous infusion, 5 × 10E7 cells / time, once / week, twice / coursetreatment group 2:HUMSCs: intravenous infusion, 5 × 107 cells / time, 1 time / week, 2 times / course, a total of 2 courses            Exosomes: intravenous administration, 180mg / time, 1 time / day, 7 days / course, 2 courses in totalcontrol group:The control group was given the same amount of placebo (stem cell solvent)",
386,ChiCTR2000029550,Recommendations for Diagnosis and Treatment of Influenza Patients in the Hospital of Chengdu University of Traditional Chinese Medicine Under the Raging of Novel Coronavirus Pneumonia (COVID-19),"Experimental group 1 (mild):Compound Yinchai granules 15g, Qingqiao antiviral granules 15g,  tid,with warm waterExperimental group 1 (moderate):Compound Yinchai granules 15g, Qingqiao antiviral granules 15g, q4hwith warm water",
390,ChiCTR2000030114,"Lung ultrasound in the diagnosis, treatment and prognosis of pulmonary lesions of novel coronavirus pneumonia (COVID-19)",Gold Standard:Chest CT examinationIndex test:Lung&#32ultrasound&#32examination,
396,ChiCTR2000030493,"Survey for sleep, anxiety and depression status of Chinese residents during the outbreak of novel coronavirus infected disases (COVID-19)",cross-sectional study:no,
405,NCT04280705,Adaptive COVID-19 Treatment Trial,Other: PlaceboDrug: Remdesivir,
412,NCT04292899,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Drug: RemdesivirDrug: Standard of Care,
413,NCT04302688,Accurate Classification System for Patients With COVID-19 Pneumonitis,,
414,NCT04306393,Nitric Oxide Gas Inhalation for SARS-CoV-2,Drug: Nitric Oxide Gas,
415,NCT04307459,Acute Respiratory Failure and SARS-CoV-2 Infection in Real Life,Other: standard operating procedures,
418,NCT04307693,Comparison of Lopinavir/Ritonavir or Hydroxychloroquine in Patients With Mild Coronavirus Disease (COVID-19),Drug: Lopinavir/ritonavirDrug: Hydroxychloroquine sulfate,
419,ChiCTR2000030896,Clinical Application and Theoretical Discussion of Fu-Zheng Qing-Fei Thought in Treating Non-Critical Novel Coronavirus Pneumonia (COVID-19),Case series:traditional Chinese medicine and Western medicine treatment,
420,ChiCTR2000030895,Retrospective and Prospective Study for Nosocomial infection in Stomatology Department under the Background of novel coronavirus pneumonia (COVID-19) epidemic period,Case series:Nil,
421,ChiCTR2000030894,"Favipiravir Combined With Tocilizumab in the Treatment of novel coronavirus pneumonia (COVID-19) - A Multicenter, Randomized, Controlled Trial",Group 1:Favipiravir Combined With TocilizumabGroup 2:FavipiravirGroup 3:Tocilizumab,
424,NCT04283396,Study for Novel Coronavirus Pneumonia (NCP),Combination Product: systemic treatment,
425,NCT04276896,Immunity and Safety of Covid-19 Synthetic Minigene Vaccine,Biological: Injection and infusion of LV-SMENP-DC vaccine and antigen-specific CTLs,
426,NCT04290780,Multicenter Study on Nosocomial Transmission of SARS-CoV-2 Virus,Other: nosocomial infection/hospital acquired infection,
427,NCT04290858,Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID19 Infection,Drug: Nitric Oxide,
428,NCT04292730,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Drug: RemdesivirDrug: Standard of Care,
429,ChiCTR2000030893,Study for effects of crisis intervention based on positive psychology for medical staffs working in the novel coronavirus pneumonia (COVID-19) field,Observation group:Positive Psychological Guidance Group Counseling,
430,ChiCTR2000030863,Clinical and CT imaging Characteristics of novel coronavirus pneumonia (COVID-19): An Multicenter Cohort Study,Case series:None,
431,ChiCTR2000030862,Correlation analysis of blood eosinophil cell levels and clinical type category of novel coronavirus pneumonia (COVID-19): a medical records based retrospective study,Ordinary COVID-19 patients:NilHeavy COVID-19 patients:Nil,
432,ChiCTR2000030861,Development and application of a new intelligent robot for novel coronavirus (2019-nCOV) oropharygeal sampling,Case series:Nil,
433,ChiCTR2000030860,A medical records based study for investigation of dynamic profile of RT-PCR test for SARS-CoV-2 nucleic acid of novel coronavirus pneumonia (COVID-19) patients,Case series:N/A,
434,ChiCTR2000030812,Study for the virus molecular evolution which driven the immune-pathological responses and the protection mechanisms of novel coronavirus pneumonia (COVID-19) patients,Case series:none,
437,NCT04291053,The Efficacy and Safety of Huai er in the Adjuvant Treatment of COVID-19,Drug: Huaier Granule,
438,NCT04291729,Evaluation of Ganovo (Danoprevir ) Combined With Ritonavir in the Treatment of Novel Coronavirus Infection,Drug: Ganovo+ritonavir+/-Interferon atomizationDrug: Long acting interferonDrug: Recombinant cytokine gene-derived proteinDrug: Lopinavir+ritonavirDrug: Chinese medicines +interferon atomization,
439,NCT04292964,Prognostic Factors of Patients With COVID-19,,
440,NCT04298814,Safety Related Factors of Endotracheal Intubation in Patients With Severe Covid-19 Pneumonia,Other: severe covid-19 pneumonia with ET,
441,NCT04299724,Safety and Immunity of Covid-19 aAPC Vaccine,Biological: Pathogen-specific aAPC,
442,NCT04303299,"Various Combination of Protease Inhibitors, Oseltamivir, Favipiravir, and Chloroquin for Treatment of COVID19 : A Randomized Control Trial",Drug: Oral,
443,ChiCTR2000030810,Clinical observation and evaluation of traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19) in Hubei 672 Orthopaedics Hospital of Integrated Chinese&Western Medicine,Experimental group:oral medicine(trditional medicine)control group:oral medicine( anti virious),
444,ChiCTR2000030809,A medical records based study for clinical outcomes and follow-up of novel coronavirus pneumonia (COVID-19) patients,Case series:Nil,
445,NCT04292340,Anti-SARS-CoV-2 Inactivated Convalescent Plasma in the Treatment of COVID-19,,
446,NCT04293692,Therapy for Pneumonia Patients iInfected by 2019 Novel Coronavirus,Biological: UC-MSCsOther: Placebo,
447,NCT04293887,Efficacy and Safety of IFN-a2ß in the Treatment of Novel Coronavirus Patients,Drug: Recombinant human interferon a1ß,
448,NCT04302766,Expanded Access Remdesivir (RDV; GS-5734™),Drug: Remdesivir,
449,ChiCTR2000030795,A multicenter retrospective study of rheumatic  patients with novel coronavirus pneumonia (COVID-19),Case series:Nil,
450,ChiCTR2000030778,A medical records based study for epidemic and clinical features of novel coronavirus pneumonia (COVID-19) in Ningbo First Hospital,Case series:No,
451,NCT04303507,Chloroquine Prevention of Coronavirus Disease (COVID-19) in the Healthcare Setting,Drug: ChloroquineDrug: Placebo,
452,NCT04305106,Bevacizumab in Severe or Critical Patients With COVID-19 Pneumonia-RCT,Drug: Bevacizumab,
453,NCT04308187,Influence of the COvid-19 Epidemic on STRESS,,
454,ChiCTR2000030898,Evaluation on the effect of Chushifangyi prescription in preventing novel coronavirus pneumonia (COVID-19),Population under risk:Chushifangyi prescription,
455,ChiCTR2000030866,"Open-label, observational study of human umbilical cord derived mesenchymal stem cells in the treatment of severe and critical patients with novel coronavirus pneumonia (COVID-19)",MSC group:Intravenous infusion of MSC based on conventional treatments,
456,ChiCTR2000030864,Traditional Chinese Medicine for novel coronavirus pneumonia (COVID-19),Case series:Western medicine plus Qingfei Paidu decoction,
457,ChiCTR2000030759,Study for the therapeutic effect and mechanism of traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19),control group:Routine supportive treatmentexperimental group:TCM decoction intervention + routine supportive treatment,
458,ChiCTR2000030758,A medical records based study for sedation and Analgesia Usage in critically ill patients with novel coronavirus pneumonia (COVID-19),NIV group:noMV group:no,
459,NCT04304313,A Pilot Study of Sildenafil in COVID-19,Drug: Sildenafil citrate tablets,
460,NCT04306055,Blood Donor Recruitment During Epidemic of COVID-19,Other: Questionnaire with precaution informationOther: Experimental: Questionnaire without precaution information,
461,NCT04306497,Clinical Trial on Regularity of TCM Syndrome and Differentiation Treatment of COVID-19.,Drug: TCM prescriptions,
462,NCT04306705,Tocilizumab vs CRRT in Management of Cytokine Release Syndrome (CRS) in COVID-19,Drug: TocilizumabOther: Standard of careProcedure: Continuous renal replacement therapy,
463,ChiCTR2000030757,Impact of Novel Coronavirus Pneumonia (COVID-19) Epidemic Period on the Management of investigator-initiated clinical trial and the resilience of medical service providers,Case series:Nil,
464,ChiCTR2000030756,Detection of SARS-CoV-2 in EPS / semen of patients with novel coronavirus pneumonia (COVID-19),Case series:Nil,
465,ChiCTR2000030859,A medical based analysis for influencing factors of death of novel coronavirus pneumonia (COVID-19) patients in Wuhan third hospital,Group 1:Traditional Chinese medicine and routine treatment of western medicineGroup 2:Routine treatment of western medicine,
466,ChiCTR2000030857,Clinical study for bronchoscopic alveolar lavage in the treatment of critically trachea intubation patients with new coronavirus pneumonia (COVID-19),Case series:The use of fiberoptic bronchoscopy,
467,ChiCTR2000030902,Analysis for the mental health status of residents in Jingzhou during the outbreak of the novel coronavirus pneumonia (COVID-19) and corresponding influencing factors,Case series:None,
468,ChiCTR2000030901,Retrospective analysis of epidemiology and transmission dynamics of patients confirmed with Coronavirus Disease (COVID-19) in Hong Kong,Case series:Not applicable,
469,ChiCTR2000030855,Study for the effect of external diaphragmatic pacing assisted invasive ventilation and weaning in patients with severe novel coronavirus pneumonia (COVID-19),Case series:external diaphragmatic pacing,
470,ChiCTR2000030850,Study for the physical and mental health status of medical workers under the novel coronavirus pneumonia (COVID-19) epidemic,Observation group:Medical workers in Hubei provinceControl group:Non-Hubei medical staffNon-Hubei medical staff,
471,ChiCTR2000030742,"Characteristics, prognosis, and treatments effectiveness of critically ill patients with Novel Coronavirus Pneumonia (COVID-19)",Case series:no,
472,ChiCTR2000030741,Observational Study for Prone Position Ventilation and Conventional Respiratory Support in ARDS Patients with  Novel Coronavirus Pneumonia (COVID-19),transnasal high-flow oxygen therapy:prone position ventilationnoninvasive mechanical ventilation:prone position ventilation invasive mechanical ventilation:prone position ventilation,
473,ChiCTR2000030854,"A clinical multicenter study for the occurrence, development and prognosis of novel coronavirus pneumonia (COVID-19)","The triple combination antiviral therapy:abidor,lopinavir/ritonavir plus recombinant interferon alpha-2b(rIFN alpha-2b)The dual combination antiviral therapy:,lopinavir/ritonavir plus recombinant interferon alpha-2b(rIFN alpha-2b)",
474,ChiCTR2000030853,Evaluation of the protective effect of dexmedetomidine on patients with severe novel coronavirus pneumonia (COVID-19),Case series:dexmedetomidine,
475,ChiCTR2000030841,Exploratory study for Immunoglobulin From Cured COVID-19 Patients in the Treatment of Acute Severe novel coronavirus pneuvirus (COVID-19),Experimental group:Immunoglobulin of cured patientsControl group:gama-Globulin,
476,ChiCTR2000030839,Preliminary screening of novel coronavirus pneumonia (COVID-19) by special laboratory examination and CT imaging before surgery,Case series:Laboratory examination and pulmonary CT,
477,ChiCTR2000030740,Analysis of the incidence and risk factors of ARDS in patients with Novel Coronavirus Pneumonia (COVID-19).,case series:no,
478,ChiCTR2000030708,Cross sectional study of dialysis treatment and mental status under the outbreak of novel coronavirus pneumonia (COVID-2019) in China,Case series:filling in the  scale,
479,ChiCTR2000030832,Study for the pathogenesis and effective intervention of mood disorders caused by the novel coronavirus pneumonia (COVID-19),"Group 1:mindfulness therapyGroup 2:cognitive behavioral therapyGroup 3:exercise therapyGroup 4:Without treatment, online assessment per two weeks",
480,ChiCTR2000030830,Development and application of novel coronavirus pneumonia (COVID-19) intelligent image classification system based on deep learning,Case series:Nil,
481,ChiCTR2000030707,Retrospective study on novel coronavirus pneumonia (COVID-19) in Tibetan Plateau,Case series:Nil,
482,ChiCTR2000030806,Retrospective study for the efficacy of ulinastatin combined with ''clear lung detoxification soup'' in the treatment of novel coronavirus pneumonia (COVID-19),"experimental group:Oral Chinese medicine ""qingfei detoxification soup"" + intravenous injection of ulinastatin 200000 U Bid.",
483,ChiCTR2000030804,Exocarpium Citri Grandis Relieves Symptoms of Novel Coronavirus Pneunomia (COVID-19): a Randomized Controlled Clinical Trial,Exocarpium Citri Grandis Group:Oral Administration of Exocarpium Citri Grandis Phlegm Cough SolutionPlacebo Group:Oral Administration of Placebo,
484,ChiCTR2000030690,Study for immune cell subsets in convalescent patients with novel coronavirus pneumonia (COVID-19),Two groups:Nil,
486,ChiCTR2000030799,Establishment and validation of Premonitory model of deterioration of the 2019 novel corona virus pneumonia (COVID-19),Gold Standard:Clinical outcomeIndex test:artificial&#32intelligence&#32prediction&#32model,
487,ChiCTR2000030797,clinical study for hemodynamics and cardiac arrhythmia of novel coronavirus pneumonia (COVID-19) patients,Case series:Noninvasive hemodynamic monitoring,
488,ChiCTR2000030779,A clinical trial for Ulinastatin Injection in the treatment of patients with severe novel coronavirus pneumonia (COVID-19),Experimental group:Conventional treatent and UlinastatinControl group:Conventional treatent ,
489,ChiCTR2000030763,A Medical Records Based analysis for Risk Factors for Outcomes After Respiratory Support in Patients with ARDS Due to Novel Coronavirus Pneumonia (COVID-19),case series:no,
490,ChiCTR2000030852,Factors associated with death in patients with novel coronavirus pneumonia (COVID-19),Case series:Nil,
491,ChiCTR2000030838,Development of warning system with clinical differential diagnosis and prediction for severe type of novel coronavirus pneumonia (COVID-19) patients based on artificial intelligence and CT images,Gold Standard:RT-PCR test resultsIndex test:Typing&#32and&#32prediction&#32accuracy&#32of&#32artificial&#32intelligence&#32models,
492,ChiCTR2000030761,Continuous renal replacement therapy (CRRT) alleviating inflammatory response in severe patients with novel coronavirus pneumonia (COVID-19) associated with renal injury: A Prospective study,Case series:CRRT,
493,ChiCTR2000030754,Medical records based study for the accuracy of SARS-CoV-2 IgM antibody screening for diagnosis of novel coronavirus pneumonia (COVID-19),Gold Standard:2019 nCOV detectionIndex test:SARS-CoV-2 IgM,
495,ChiCTR2000030752,A medical records based analysis for risk factors for death in patients with Novel Coronavirus Pneumonia (COVID-19),case series:Nil,
496,ChiCTR2000030747,A prospective cohort  study for comprehensive treatment of Chinese medicine in the treatment of convalescent patients of novel coronavirus pneumonia (COVID-19),Control group :Health education and   symptomatic treatmentComprehensive treatment group:Health education+Comprehensive TCM treatment,
497,ChiCTR2000030836,Novel coronavirus pneumonia (COVID-19) combined with Chinese and Western medicine based on ''Internal and External Relieving -Truncated Torsion'' strategy,Group 2:Truncated Torsion' Formula and Routine treatment of Western MedicineGroup 1:Routine treatment of Western Medicine,
498,ChiCTR2000030835,Clinical study for the efficacy of Mesenchymal stem cells (MSC) in the treatment of severe novel coronavirus pneumonia (COVID-19),High dose group:routine treatment + MSc (2 x10^6 / kg / time)Low dose group:routine treatment + MSc (1x10^6 / kg / time),
499,ChiCTR2000030722,Auscultatory characteristics of novel coronavirus pneumonia (COVID-19),Case series:Nil,
500,ChiCTR2000030720,Prognosis Investigation and Intervention Study on Patients with novel coronavirus pneumonia (COVID-19) in recovery period Based on Community Health Management,Group 2:Western medicine conventional treatmentGroup 1:TCM treatment,
501,ChiCTR2000030834,Epidemiological Characteristics and Antibody Levels of novel coronavirus pneumonia (COVID-19) of Pediatric Medical Staff working in Quarantine Area,Case series:Nil,
